fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,persona,0.3578423,1,268,230,323,323,0,,,,,,
1,persona,0.26979327,2,407,245,428,270,0,,,,,,
2,persona,0.24948065,1,269,231,326,323,0,,,,,,
2,persona,0.2258417,2,407,245,427,270,0,,,,,,
3,persona,0.25485283,1,269,231,326,322,0,,,,,,
3,persona,0.24765255,2,407,246,427,271,0,,,,,,
4,persona,0.27045655,1,269,231,326,322,0,,,,,,
4,persona,0.32668045,2,407,245,426,272,0,,,,,,
5,persona,0.29240096,1,269,231,326,322,0,,,,,,
5,persona,0.35988677,2,407,244,427,274,0,,,,,,
6,persona,0.30878136,1,269,231,326,322,0,,,,,,
6,persona,0.36025456,2,407,244,426,275,0,,,,,,
7,persona,0.31623295,1,269,231,326,322,0,,,,,,
7,persona,0.35011792,2,406,243,426,275,0,,,,,,
8,persona,0.32390144,1,269,231,324,322,0,,,,,,
8,persona,0.34915245,2,406,243,426,276,0,,,,,,
9,persona,0.309729,1,269,231,324,322,0,,,,,,
9,persona,0.35433996,2,404,243,425,278,0,,,,,,
10,persona,0.31204987,1,269,230,324,322,0,,,,,,
10,persona,0.365792,2,403,244,424,280,0,,,,,,
11,persona,0.296656,1,268,230,324,322,0,,,,,,
11,persona,0.35014594,2,403,244,424,281,0,,,,,,
12,persona,0.28996325,1,268,230,322,322,0,,,,,,
12,persona,0.37259412,2,402,244,424,284,0,,,,,,
13,persona,0.32005495,1,269,231,312,322,0,,,,,,
13,persona,0.3849684,2,402,244,423,284,0,,,,,,
14,persona,0.2931725,1,269,231,308,321,0,,,,,,
14,persona,0.4120276,2,402,244,423,287,0,,,,,,
15,persona,0.31186795,1,269,231,305,321,0,,,,,,
15,persona,0.42593065,2,402,244,423,288,0,,,,,,
16,persona,0.3446879,1,269,231,309,321,0,,,,,,
16,persona,0.4649221,2,402,243,422,289,0,,,,,,
17,persona,0.34079123,1,269,231,312,321,0,,,,,,
17,persona,0.47897607,2,402,243,423,290,0,,,,,,
18,persona,0.33180377,1,269,231,308,321,0,,,,,,
18,persona,0.4429742,2,402,243,423,289,0,,,,,,
19,persona,0.33096495,1,269,231,306,321,0,,,,,,
19,persona,0.40276092,2,402,243,422,287,0,,,,,,
20,persona,0.3334388,1,269,231,305,321,0,,,,,,
20,persona,0.44624585,2,401,243,422,288,0,,,,,,
21,persona,0.35911077,1,269,231,304,321,0,,,,,,
21,persona,0.50661135,2,401,242,422,289,0,,,,,,
22,persona,0.36766565,1,269,231,305,321,0,,,,,,
22,persona,0.4996281,2,401,242,421,290,0,,,,,,
23,persona,0.3865852,1,268,230,303,321,0,,,,,,
23,persona,0.5660091,2,400,241,421,291,0,,,,,,
24,persona,0.38819125,1,268,230,302,321,0,,,,,,
24,persona,0.6029122,2,400,241,421,292,0,,,,,,
25,persona,0.4042927,1,268,230,303,321,0,,,,,,
25,persona,0.6167917,2,399,241,420,292,0,,,,,,
26,persona,0.38129553,1,268,230,301,321,0,,,,,,
26,persona,0.6336266,2,399,241,421,293,0,,,,,,
27,persona,0.37401474,1,268,230,300,321,0,,,,,,
27,persona,0.64758354,2,399,242,421,293,0,,,,,,
28,persona,0.38131312,1,268,230,300,321,0,,,,,,
28,persona,0.6491976,2,399,242,421,292,0,,,,,,
29,persona,0.38367486,1,268,230,300,321,0,,,,,,
29,persona,0.6689593,2,398,242,420,293,0,,,,,,
30,persona,0.36420128,1,268,230,299,321,0,,,,,,
30,persona,0.62683445,2,398,242,421,294,0,,,,,,
31,persona,0.36977747,1,268,230,299,321,0,,,,,,
31,persona,0.64417726,2,398,242,420,294,0,,,,,,
32,persona,0.38203442,1,268,230,300,321,0,,,,,,
32,persona,0.6830798,2,398,242,420,294,0,,,,,,
33,persona,0.3764312,1,268,230,301,321,0,,,,,,
33,persona,0.67050534,2,397,241,420,295,0,,,,,,
34,persona,0.37795615,1,268,230,301,321,0,,,,,,
34,persona,0.6932819,2,397,242,420,295,0,,,,,,
35,persona,0.3732203,1,268,230,301,321,0,,,,,,
35,persona,0.69190484,2,397,242,420,295,0,,,,,,
36,persona,0.3804009,1,268,230,301,321,0,,,,,,
36,persona,0.6893158,2,397,243,420,295,0,,,,,,
37,persona,0.35064885,1,268,231,299,321,0,,,,,,
37,persona,0.668193,2,397,243,419,294,0,,,,,,
38,persona,0.36412397,1,268,231,298,320,0,,,,,,
38,persona,0.6633786,2,396,242,419,294,0,,,,,,
39,persona,0.35725704,1,268,231,298,320,0,,,,,,
39,persona,0.63572043,2,396,241,419,294,0,,,,,,
40,persona,0.335561,1,268,231,299,320,0,,,,,,
40,persona,0.6168497,2,395,241,418,294,0,,,,,,
41,persona,0.3230645,1,268,231,299,320,0,,,,,,
41,persona,0.66026205,2,395,241,419,295,0,,,,,,
42,persona,0.33764583,1,268,231,299,320,0,,,,,,
42,persona,0.6936771,2,394,241,419,295,0,,,,,,
43,persona,0.33241054,1,268,231,299,320,0,,,,,,
43,persona,0.6813868,2,394,242,419,295,0,,,,,,
44,persona,0.33329237,1,268,231,299,320,0,,,,,,
44,persona,0.6949437,2,394,242,420,295,0,,,,,,
45,persona,0.3299537,1,268,231,299,320,0,,,,,,
45,persona,0.7375163,2,394,242,419,295,0,,,,,,
