fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,bus,0.91,1,1396,53,1919,487,N/A,0.0,0,0,0,0,N/A
1,car,0.83,2,1317,312,1399,367,N/A,0.0,0,0,0,0,N/A
1,car,0.49,3,1281,316,1321,349,N/A,0.0,0,0,0,0,N/A
1,person,0.43,4,975,313,1002,382,N/A,0.0,0,0,0,0,N/A
1,car,0.40,5,1223,316,1281,343,N/A,0.0,0,0,0,0,N/A
2,bus,0.91,1,1399,56,1919,483,N/A,0.0,0,0,0,0,N/A
2,car,0.86,2,1317,312,1398,367,N/A,0.0,0,0,0,0,N/A
2,car,0.48,3,1280,315,1321,349,N/A,0.0,0,0,0,0,N/A
2,person,0.49,4,977,314,1005,383,N/A,0.0,0,0,0,0,N/A
2,car,0.45,5,1223,315,1280,343,N/A,0.0,0,0,0,0,N/A
3,bus,0.90,1,1395,59,1919,478,N/A,0.0,0,0,0,0,N/A
3,car,0.86,2,1316,312,1397,367,N/A,0.0,0,0,0,0,N/A
3,car,0.48,3,1280,315,1321,348,N/A,0.0,0,0,0,0,N/A
3,person,0.58,4,977,316,1007,383,N/A,0.0,0,0,0,0,N/A
3,car,0.50,5,1223,315,1279,343,N/A,0.0,0,0,0,0,N/A
4,bus,0.88,1,1392,64,1919,478,N/A,0.0,0,0,0,0,N/A
4,car,0.87,2,1316,312,1397,367,N/A,0.0,0,0,0,0,N/A
4,car,0.47,3,1280,315,1321,349,N/A,0.0,0,0,0,0,N/A
4,person,0.68,4,978,313,1008,383,N/A,0.0,0,0,0,0,N/A
4,car,0.55,5,1224,315,1278,343,N/A,0.0,0,0,0,0,N/A
5,bus,0.89,1,1391,66,1919,472,matricula,0.13,1838,398,1916,418,N/A
5,car,0.82,2,1314,312,1396,367,N/A,0.0,0,0,0,0,N/A
5,car,0.45,3,1280,315,1321,349,N/A,0.0,0,0,0,0,N/A
5,person,0.60,4,978,308,1010,383,N/A,0.0,0,0,0,0,N/A
5,car,0.54,5,1226,315,1278,343,N/A,0.0,0,0,0,0,N/A
6,bus,0.89,1,1391,72,1919,471,matricula,0.23,1819,398,1884,413,N/A
6,car,0.85,2,1314,312,1396,367,N/A,0.0,0,0,0,0,N/A
6,person,0.62,4,978,308,1010,383,N/A,0.0,0,0,0,0,N/A
6,car,0.52,5,1226,316,1277,343,N/A,0.0,0,0,0,0,N/A
7,bus,0.90,1,1388,78,1919,469,matricula,0.21,1809,396,1869,413,N/A
7,car,0.84,2,1313,312,1394,367,N/A,0.0,0,0,0,0,N/A
