epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.6539,1.93007,4.98142,1.77453,0,0,0,0,1.86923,5.04054,1.89859,0,0,0
2,7.95063,2.12506,4.75998,1.69784,0,0,0,0,1.83199,4.81384,1.85818,1.9604e-05,1.9604e-05,1.9604e-05
3,11.9638,2.37834,5.04986,1.8907,0,0,0,0,1.54136,4.64838,1.69923,3.8416e-05,3.8416e-05,3.8416e-05
4,15.9658,1.72986,4.27493,1.49842,0,0,0,0,1.29774,4.40646,1.52103,5.6436e-05,5.6436e-05,5.6436e-05
5,19.9878,1.58079,4.27554,1.44312,0,0,0,0,0.93048,4.22504,1.3257,7.3664e-05,7.3664e-05,7.3664e-05
6,23.766,1.27678,4.37665,1.31983,0,0,0,0,0.74955,4.19778,1.14407,9.01e-05,9.01e-05,9.01e-05
7,27.2313,1.23256,3.74323,1.27892,0.00333,1,0.00816,0.00269,0.70712,4.14048,1.07759,0.000105744,0.000105744,0.000105744
8,31.1072,1.45264,4.15504,1.35227,0.00333,1,0.00858,0.00541,0.79978,3.98793,1.06568,0.000120596,0.000120596,0.000120596
9,34.9683,1.10687,3.52945,1.04878,0.00333,1,0.00892,0.00714,0.7621,3.82802,1.00697,0.000134656,0.000134656,0.000134656
10,39.0387,0.90243,3.00872,0.98606,0.00333,1,0.00892,0.0074,0.69862,3.72539,0.97435,0.000147924,0.000147924,0.000147924
11,42.8514,1.21487,3.23685,1.06476,0.00333,1,0.00926,0.00768,0.67597,3.67746,0.9626,0.0001604,0.0001604,0.0001604
12,46.6828,1.10446,2.63353,1.03609,0.00333,1,0.00961,0.0073,0.74822,3.6138,0.96135,0.000172084,0.000172084,0.000172084
13,50.2406,1.13216,2.78362,1.07579,0.00333,1,0.00957,0.00794,0.70532,3.57588,0.96528,0.000182976,0.000182976,0.000182976
14,53.7908,0.81892,1.83126,0.88441,0.00333,1,0.00939,0.00779,0.66525,3.4543,0.96738,0.000193076,0.000193076,0.000193076
15,57.3882,0.73226,1.63298,0.96311,0.00333,1,0.00939,0.00682,0.75944,3.40194,0.97661,0.000202384,0.000202384,0.000202384
16,60.8386,0.86441,1.9091,0.96305,0.00333,1,0.00943,0.00742,0.74161,3.48244,0.98216,0.0002109,0.0002109,0.0002109
17,64.517,0.82145,2.56,0.96046,0.00333,1,0.01644,0.00728,0.73438,3.45547,0.98729,0.000218624,0.000218624,0.000218624
18,68.0815,0.91569,1.78987,0.97344,0.00333,1,0.01644,0.00728,0.73438,3.45547,0.98729,0.000225556,0.000225556,0.000225556
19,71.715,0.88425,2.01577,0.98884,0.00333,1,0.01801,0.01009,0.69833,3.50195,0.97851,0.000231696,0.000231696,0.000231696
