epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.91199,1.92427,4.91022,1.8039,0,0,0,0,1.31439,4.70285,1.67866,0,0,0
2,5.88702,1.84906,4.71508,1.66041,0,0,0,0,1.25336,4.58731,1.65103,1.9604e-05,1.9604e-05,1.9604e-05
3,9.18334,2.15827,5.08963,1.77458,0,0,0,0,1.24678,4.37748,1.60165,3.8416e-05,3.8416e-05,3.8416e-05
4,12.8372,1.59684,4.27988,1.44998,0,0,0,0,1.18823,4.21601,1.45717,5.6436e-05,5.6436e-05,5.6436e-05
5,16.9056,1.57436,4.31353,1.37162,0,0,0,0,0.79366,4.05695,1.24132,7.3664e-05,7.3664e-05,7.3664e-05
6,20.8613,1.19511,4.25758,1.17528,0,0,0,0,0.65616,3.84353,1.11265,9.01e-05,9.01e-05,9.01e-05
7,24.5118,1.26393,3.72752,1.1551,0,0,0,0,0.75092,3.7536,1.04768,0.000105744,0.000105744,0.000105744
8,28.0997,1.31561,4.00745,1.12939,0,0,0,0,0.81602,3.72951,1.01956,0.000120596,0.000120596,0.000120596
9,31.9887,1.18332,3.61505,1.01307,0,0,0,0,0.69695,3.67149,0.98275,0.000134656,0.000134656,0.000134656
10,35.4531,0.9166,3.33064,0.99389,0.00333,1,0.00649,0.0017,0.82761,3.69196,0.98887,0.000147924,0.000147924,0.000147924
11,38.7829,1.24892,3.53779,0.97716,0.00333,1,0.01325,0.00899,0.83872,3.75121,0.97246,0.0001604,0.0001604,0.0001604
12,42.0963,1.1013,3.0924,1.00995,0.00333,1,0.07566,0.04591,0.82902,3.86664,0.95637,0.000172084,0.000172084,0.000172084
13,45.5996,1.0513,3.56036,1.04211,0.00333,1,0.52625,0.45405,0.72275,3.86453,0.95519,0.000182976,0.000182976,0.000182976
